pop	clust1	clust2
fall	0.5179	0.4821
fall	0.5769	0.4231
fall	0.3948	0.6052
fall	0.6505	0.3495
fall	0.5333	0.4667
fall	0.6503	0.3497
fall	0.4678	0.5322
fall	0.3693	0.6307
fall	0.6576	0.3424
fall	0.5360	0.4640
fall	0.1739	0.8261
fall	0.5987	0.4013
fall	0.6478	0.3522
fall	0.2124	0.7876
fall	0.5328	0.4672
fall	0.4232	0.5768
fall	0.1540	0.8460
fall	0.6491	0.3509
fall	0.4895	0.5105
fall	0.3342	0.6658
fall	0.2069	0.7931
fall	0.1896	0.8104
fall	0.4012	0.5988
fall	0.6573	0.3427
fall	0.5697	0.4303
fall	0.2822	0.7178
fall	0.3438	0.6562
fall	0.5281	0.4719
fall	0.2473	0.7527
fall	0.6895	0.3105
fall	0.5479	0.4521
fall	0.7320	0.2680
fall	0.4797	0.5203
fall	0.4983	0.5017
halfpounder	0.5872	0.4128
halfpounder	0.5463	0.4537
halfpounder	0.5211	0.4789
halfpounder	0.2863	0.7137
halfpounder	0.2852	0.7148
halfpounder	0.1959	0.8041
halfpounder	0.4428	0.5572
halfpounder	0.6496	0.3504
halfpounder	0.2001	0.7999
halfpounder	0.6150	0.3850
halfpounder	0.1827	0.8173
halfpounder	0.5423	0.4577
halfpounder	0.4872	0.5128
halfpounder	0.6963	0.3037
halfpounder	0.3756	0.6244
halfpounder	0.4328	0.5672
halfpounder	0.3796	0.6204
halfpounder	0.2593	0.7407
halfpounder	0.6415	0.3585
halfpounder	0.5553	0.4447
halfpounder	0.4419	0.5581
halfpounder	0.5860	0.4140
halfpounder	0.5335	0.4665
halfpounder	0.2680	0.7320
halfpounder	0.3057	0.6943
halfpounder	0.4225	0.5775
halfpounder	0.5082	0.4918
halfpounder	0.6335	0.3665
halfpounder	0.6459	0.3541
halfpounder	0.2781	0.7219
halfpounder	0.6924	0.3076
halfpounder	0.5048	0.4952
halfpounder	0.5928	0.4072
halfpounder	0.6515	0.3485
halfpounder	0.4872	0.5128
halfpounder	0.4630	0.5370
halfpounder	0.7031	0.2969
halfpounder	0.5603	0.4397
halfpounder	0.5907	0.4093
halfpounder	0.2772	0.7228
halfpounder	0.3481	0.6519
halfpounder	0.4927	0.5073
halfpounder	0.5605	0.4395
halfpounder	0.6174	0.3826
halfpounder	0.5241	0.4759
halfpounder	0.5146	0.4854
halfpounder	0.6928	0.3072
halfpounder	0.4796	0.5204
halfpounder	0.1679	0.8321
halfpounder	0.4737	0.5263
halfpounder	0.5497	0.4503
halfpounder	0.5126	0.4874
halfpounder	0.4592	0.5408
halfpounder	0.5840	0.4160
halfpounder	0.6543	0.3457
