pop	clust1	clust2	clust3
fall	0.2036	0.1243	0.6721
fall	0.2298	0.0745	0.6957
fall	0.5807	0.0594	0.3599
fall	0.7764	0.0407	0.1829
fall	0.6834	0.1013	0.2153
fall	0.2273	0.5797	0.1930
fall	0.8219	0.0830	0.0951
fall	0.5325	0.1026	0.3649
fall	0.2890	0.5239	0.1871
fall	0.6991	0.1486	0.1523
fall	0.5738	0.1120	0.3142
fall	0.5525	0.0920	0.3555
fall	0.2768	0.1973	0.5260
fall	0.4262	0.1885	0.3853
fall	0.2388	0.4697	0.2914
fall	0.2210	0.3554	0.4236
fall	0.1754	0.4369	0.3877
fall	0.1960	0.0730	0.7309
fall	0.4130	0.1314	0.4555
fall	0.3393	0.3272	0.3334
fall	0.2436	0.5742	0.1822
fall	0.2470	0.2819	0.4710
fall	0.4929	0.2534	0.2537
fall	0.1168	0.1419	0.7413
fall	0.1473	0.1905	0.6622
fall	0.2978	0.3313	0.3709
fall	0.2256	0.1720	0.6024
fall	0.1945	0.3232	0.4822
fall	0.4972	0.3386	0.1641
fall	0.3202	0.3785	0.3012
fall	0.3619	0.3828	0.2553
fall	0.1583	0.3369	0.5049
fall	0.2115	0.1660	0.6225
fall	0.5247	0.2231	0.2521
fall	0.2642	0.2836	0.4523
fall	0.6131	0.1461	0.2408
fall	0.4815	0.1085	0.4100
fall	0.1372	0.4148	0.4481
fall	0.2721	0.1825	0.5454
fall	0.5835	0.1206	0.2959
fall	0.5746	0.2527	0.1727
fall	0.6807	0.1254	0.1938
fall	0.5776	0.3584	0.0640
fall	0.3125	0.3912	0.2962
fall	0.7562	0.1125	0.1313
fall	0.6853	0.1415	0.1731
fall	0.2255	0.2931	0.4814
fall	0.2658	0.1124	0.6218
fall	0.6479	0.0666	0.2855
fall	0.3693	0.1003	0.5304
fall	0.4525	0.2689	0.2785
fall	0.6290	0.2375	0.1335
fall	0.2030	0.4529	0.3442
fall	0.1185	0.7578	0.1237
fall	0.0944	0.8292	0.0764
fall	0.0588	0.8930	0.0482
fall	0.3299	0.5530	0.1171
fall	0.4759	0.0881	0.4360
fall	0.5379	0.2141	0.2480
fall	0.1930	0.6154	0.1917
fall	0.3036	0.0679	0.6285
fall	0.3831	0.0819	0.5350
fall	0.1933	0.5469	0.2598
fall	0.6199	0.0740	0.3061
fall	0.6094	0.2521	0.1385
fall	0.0738	0.8793	0.0469
fall	0.5298	0.3605	0.1097
fall	0.2137	0.4767	0.3096
fall	0.4993	0.4122	0.0885
fall	0.3517	0.2988	0.3496
fall	0.4196	0.4625	0.1180
fall	0.1723	0.4291	0.3987
fall	0.7527	0.0996	0.1477
fall	0.6576	0.0707	0.2717
fall	0.2087	0.5121	0.2792
fall	0.2508	0.4254	0.3238
fall	0.3409	0.1946	0.4645
fall	0.5769	0.2269	0.1962
fall	0.3855	0.1858	0.4287
fall	0.6311	0.1343	0.2347
fall	0.4116	0.4365	0.1519
fall	0.0997	0.7166	0.1838
fall	0.3709	0.3639	0.2652
fall	0.4182	0.2834	0.2984
fall	0.0563	0.8654	0.0783
fall	0.2466	0.0790	0.6744
fall	0.2442	0.2983	0.4576
fall	0.2819	0.0809	0.6372
fall	0.4069	0.4583	0.1348
fall	0.2782	0.2121	0.5097
fall	0.7433	0.1489	0.1078
fall	0.3469	0.2057	0.4474
fall	0.7368	0.1610	0.1022
fall	0.0684	0.8927	0.0389
fall	0.1980	0.6552	0.1468
fall	0.2467	0.2513	0.5020
fall	0.7823	0.1245	0.0932
fall	0.1651	0.4817	0.3533
fall	0.5122	0.0897	0.3981
fall	0.3898	0.2041	0.4061
fall	0.6147	0.0906	0.2947
fall	0.4475	0.3349	0.2177
fall	0.3768	0.5119	0.1113
fall	0.4188	0.0985	0.4827
fall	0.2831	0.2484	0.4685
fall	0.0516	0.8915	0.0569
