pop	clust1	clust2	clust3	clust4	clust5
halfpounder	0.0811	0.2127	0.1419	0.3819	0.1823	
halfpounder	0.4523	0.0989	0.1026	0.0318	0.3144	
halfpounder	0.0379	0.5124	0.1821	0.0931	0.1745	
halfpounder	0.1598	0.3302	0.2781	0.0136	0.2184	
halfpounder	0.0606	0.0961	0.2217	0.2100	0.4117	
halfpounder	0.3485	0.1847	0.1831	0.0382	0.2456	
halfpounder	0.1001	0.2776	0.1346	0.0512	0.4366	
halfpounder	0.0656	0.5630	0.1665	0.0296	0.1752	
halfpounder	0.0171	0.0230	0.0221	0.9167	0.0211	
halfpounder	0.0371	0.1497	0.4798	0.1746	0.1589	
halfpounder	0.0378	0.0233	0.0256	0.8782	0.0351	
halfpounder	0.0400	0.3780	0.1707	0.0375	0.3737	
halfpounder	0.1498	0.0953	0.2755	0.0294	0.4499	
halfpounder	0.1516	0.0992	0.1419	0.1818	0.4255	
halfpounder	0.0545	0.2303	0.2360	0.0772	0.4020	
halfpounder	0.1220	0.1761	0.5231	0.0449	0.1338	
halfpounder	0.1105	0.2530	0.1573	0.1511	0.3280	
halfpounder	0.0264	0.0249	0.0294	0.8962	0.0231	
halfpounder	0.1115	0.1284	0.0841	0.6285	0.0475	
halfpounder	0.1721	0.5268	0.0931	0.0274	0.1805	
halfpounder	0.1574	0.3853	0.1980	0.0587	0.2006	
halfpounder	0.0521	0.3616	0.1133	0.0856	0.3874	
halfpounder	0.0772	0.3586	0.4091	0.0759	0.0792	
halfpounder	0.1060	0.1527	0.3972	0.0480	0.2962	
halfpounder	0.4441	0.1233	0.1819	0.0883	0.1623	
halfpounder	0.1420	0.6575	0.1236	0.0193	0.0575	
halfpounder	0.3273	0.1868	0.2002	0.0500	0.2358	
halfpounder	0.3748	0.1158	0.1130	0.0679	0.3286	
halfpounder	0.0191	0.0208	0.0340	0.9036	0.0225	
halfpounder	0.5127	0.0861	0.0903	0.1750	0.1358	
halfpounder	0.1430	0.0807	0.0724	0.5894	0.1145	
halfpounder	0.0622	0.0771	0.2624	0.5162	0.0821	
halfpounder	0.0490	0.1774	0.1929	0.0646	0.5162	
halfpounder	0.1135	0.3036	0.2712	0.0849	0.2267	
halfpounder	0.0770	0.1379	0.2364	0.0449	0.5037	
halfpounder	0.7704	0.0391	0.0796	0.0352	0.0758	
halfpounder	0.0686	0.2695	0.4662	0.0806	0.1151	
halfpounder	0.4144	0.1098	0.1588	0.0595	0.2574	
halfpounder	0.4684	0.0619	0.2063	0.0327	0.2307	
halfpounder	0.3157	0.0856	0.0870	0.3035	0.2083	
halfpounder	0.0561	0.0896	0.1983	0.0731	0.5829	
fall	0.1445	0.2942	0.2546	0.1684	0.1383	
fall	0.0759	0.2207	0.2094	0.3795	0.1146	
fall	0.0627	0.6097	0.1780	0.0247	0.1249	
fall	0.0429	0.1453	0.5074	0.0464	0.2580	
fall	0.1203	0.1553	0.4438	0.0988	0.1817	
fall	0.4923	0.1413	0.0947	0.0562	0.2154	
fall	0.0917	0.1753	0.2271	0.0544	0.4514	
fall	0.2057	0.1704	0.2240	0.0466	0.3532	
fall	0.0465	0.0797	0.1840	0.0216	0.6682	
fall	0.0925	0.1658	0.4086	0.1293	0.2037	
fall	0.4079	0.1189	0.1750	0.1674	0.1307	
fall	0.0535	0.2736	0.3675	0.1480	0.1574	
fall	0.3584	0.0590	0.1896	0.0337	0.3592	
fall	0.0726	0.2717	0.2611	0.2640	0.1307	
fall	0.0386	0.1882	0.1612	0.1607	0.4513	
fall	0.1422	0.3378	0.3221	0.0382	0.1598	
fall	0.0411	0.0430	0.0948	0.7525	0.0685	
fall	0.2950	0.2980	0.1880	0.0979	0.1211	
fall	0.0901	0.4108	0.2421	0.0622	0.1948	
fall	0.0393	0.3575	0.3277	0.0738	0.2018	
fall	0.0547	0.1986	0.1322	0.3228	0.2917	
fall	0.0465	0.5887	0.1115	0.1768	0.0765	
fall	0.2782	0.0812	0.3320	0.1106	0.1981	
fall	0.0791	0.3106	0.4375	0.0486	0.1242	
fall	0.1148	0.1331	0.4308	0.1576	0.1638	
fall	0.0798	0.3263	0.2415	0.0453	0.3071	
fall	0.1476	0.1507	0.1416	0.0273	0.5329	
fall	0.3055	0.2557	0.1760	0.0484	0.2144	
fall	0.2482	0.2779	0.2007	0.0247	0.2485	
fall	0.0121	0.0120	0.0141	0.9488	0.0130	
fall	0.0419	0.0768	0.0589	0.7732	0.0491	
fall	0.0779	0.4444	0.1873	0.1386	0.1519	
fall	0.0176	0.0190	0.0181	0.9288	0.0165	
fall	0.1588	0.1184	0.1415	0.4196	0.1616	
fall	0.0652	0.2290	0.3175	0.1854	0.2029	
fall	0.6505	0.1142	0.1071	0.0272	0.1010	
fall	0.0527	0.2786	0.1285	0.3513	0.1889	
fall	0.1420	0.3048	0.2373	0.0265	0.2894	
fall	0.1417	0.4366	0.2237	0.0408	0.1573	
fall	0.0305	0.0660	0.0842	0.7412	0.0782	
fall	0.0542	0.6276	0.0902	0.0283	0.1997	
fall	0.2584	0.2176	0.1377	0.2509	0.1355	
fall	0.1022	0.3013	0.3635	0.0334	0.1995	
fall	0.0188	0.0287	0.0350	0.8838	0.0337	
fall	0.0575	0.2345	0.1006	0.4750	0.1323	
fall	0.0549	0.3689	0.3221	0.1058	0.1483	
fall	0.0813	0.5793	0.1184	0.1255	0.0955	
fall	0.0783	0.5077	0.1933	0.0318	0.1889	
fall	0.0216	0.0653	0.0929	0.6603	0.1599	
fall	0.2103	0.1808	0.3449	0.0260	0.2379	
fall	0.0498	0.1924	0.3090	0.0904	0.3585	
fall	0.0296	0.0307	0.0356	0.8651	0.0390	
